ReturnID,SaleItemID,ReturnDate,ReturnQuantity,ReturnReason
1,7.0,2024-01-25 14:10:00,1,Changed mind
2,19.0,2025-01-06 14:46:00,3,Wrong size
3,20.0,2025-01-17 14:46:00,1,Changed mind
4,23.0,2025-09-12 11:48:00,1,Wrong size
5,31.0,2025-10-20 14:09:00,2,Not as expected
6,60.0,2024-06-08 14:05:00,1,Not as expected
7,67.0,2025-06-11 14:01:00,1,Ordered by mistake
8,84.0,2024-08-22 21:38:00,1,Wrong size
9,101.0,2024-02-08 15:03:00,1,Ordered by mistake
10,114.0,2024-02-05 13:13:00,1,Changed mind
11,126.0,2024-11-13 15:00:00,1,Wrong size
12,129.0,2024-11-02 15:00:00,2,Damaged
13,132.0,2025-02-11 16:02:00,1,Changed mind
14,134.0,2025-02-26 16:02:00,1,Changed mind
15,138.0,2024-10-05 20:01:00,2,Damaged
16,162.0,2025-06-15 20:31:00,1,Changed mind
17,166.0,2024-04-13 15:38:00,1,Damaged
18,180.0,2024-09-24 21:41:00,2,Damaged
19,192.0,2024-08-21 18:18:00,1,Changed mind
20,193.0,2024-08-12 18:18:00,1,Changed mind
21,205.0,2024-09-29 21:31:00,1,Ordered by mistake
22,206.0,2024-09-01 21:31:00,1,Changed mind
23,210.0,2024-03-15 13:25:00,1,Not as expected
24,231.0,2025-08-20 15:39:00,1,Ordered by mistake
25,239.0,2024-11-27 20:55:00,1,Wrong size
26,273.0,2025-02-21 14:50:00,1,Ordered by mistake
27,283.0,2025-07-07 16:09:00,1,Not as expected
28,288.0,2025-02-02 14:43:00,1,Wrong size
29,320.0,2024-08-20 13:49:00,2,Changed mind
30,322.0,2025-12-31 20:31:00,1,Ordered by mistake
31,339.0,2025-11-17 17:14:00,1,Changed mind
32,365.0,2024-07-04 18:54:00,1,Wrong size
33,366.0,2024-07-06 18:54:00,2,Damaged
34,376.0,2025-12-19 12:03:00,1,Ordered by mistake
35,381.0,2024-08-15 11:30:00,1,Not as expected
36,392.0,2024-04-07 18:07:00,1,Wrong size
37,402.0,2025-08-01 16:43:00,1,Ordered by mistake
38,428.0,2025-03-25 17:24:00,1,Ordered by mistake
39,465.0,2025-02-11 12:16:00,1,Damaged
