SaleID,CustomerID,StoreID,SaleDate,SalesChannel,PromotionID
1,182,1.0,2025-07-26 19:51:00,Store,6.0
2,132,4.0,2024-03-20 14:36:00,Store,1.0
3,295,,2024-01-22 14:10:00,Online,
4,186,1.0,2025-04-16 20:58:00,Store,
5,206,4.0,2024-09-06 15:37:00,Store,
6,114,2.0,2024-11-13 20:21:00,Store,
7,35,2.0,2024-03-19 17:40:00,Store,
8,76,2.0,2024-12-23 14:46:00,Store,4.0
9,39,4.0,2025-09-08 11:48:00,Store,
10,297,5.0,2025-04-20 21:36:00,Store,
11,166,,2025-10-20 19:39:00,Online,
12,226,4.0,2025-10-04 14:09:00,Store,
13,141,3.0,2025-10-08 13:50:00,Store,
14,237,1.0,2025-06-03 10:19:00,Store,
15,47,5.0,2025-01-12 13:04:00,Store,
16,284,,2025-01-28 16:37:00,Online,
17,284,2.0,2024-02-12 16:58:00,Store,
18,257,1.0,2024-11-25 18:30:00,Store,3.0
19,55,4.0,2024-03-27 17:41:00,Store,
20,82,3.0,2025-06-20 17:39:00,Store,
21,174,,2025-01-31 15:49:00,Online,
22,223,3.0,2024-02-23 21:40:00,Store,
23,112,5.0,2024-04-06 17:43:00,Store,
24,78,,2024-06-02 14:05:00,Online,
25,201,1.0,2024-11-13 19:44:00,Store,
26,169,,2024-11-13 17:24:00,Online,
27,270,4.0,2025-11-17 20:53:00,Store,
28,186,2.0,2025-06-04 14:01:00,Store,
29,99,2.0,2024-12-15 21:31:00,Store,4.0
30,21,,2024-04-13 17:49:00,Online,
31,193,2.0,2025-09-24 11:38:00,Store,
32,85,,2025-12-10 21:39:00,Online,8.0
33,228,4.0,2025-11-23 20:15:00,Store,7.0
34,241,,2024-11-12 21:50:00,Online,
35,293,,2024-07-17 14:43:00,Online,2.0
36,215,,2025-01-26 17:33:00,Online,
37,71,,2024-07-23 21:38:00,Online,2.0
38,53,,2025-01-15 17:59:00,Online,
39,43,,2025-06-12 10:18:00,Online,
40,263,4.0,2024-10-06 16:57:00,Store,
41,134,,2024-04-03 12:52:00,Online,
42,152,2.0,2024-01-28 15:03:00,Store,
43,115,1.0,2025-01-30 10:23:00,Store,
44,75,3.0,2025-10-27 14:50:00,Store,
45,72,,2025-04-28 20:53:00,Online,
46,3,,2025-04-25 16:39:00,Online,
47,52,5.0,2024-01-20 13:13:00,Store,
48,148,1.0,2025-06-24 15:07:00,Store,
49,223,,2024-02-18 12:26:00,Online,
50,256,1.0,2025-04-13 10:07:00,Store,
51,124,,2025-10-09 17:36:00,Online,
52,181,4.0,2024-10-25 15:00:00,Store,
53,44,3.0,2024-07-10 19:42:00,Store,2.0
54,199,,2025-02-03 16:02:00,Online,
55,183,,2024-09-16 20:01:00,Online,
56,54,,2024-12-19 12:46:00,Online,
57,181,2.0,2024-12-06 11:02:00,Store,
58,246,2.0,2025-12-02 16:44:00,Store,
59,154,2.0,2024-03-05 20:49:00,Store,1.0
60,110,5.0,2024-02-12 14:59:00,Store,
61,98,1.0,2025-04-29 13:02:00,Store,
62,64,,2025-11-02 14:17:00,Online,
63,226,,2025-03-23 15:47:00,Online,5.0
64,189,,2025-05-23 20:31:00,Online,
65,43,,2025-06-15 13:51:00,Online,
66,258,3.0,2024-03-21 15:38:00,Store,1.0
67,157,4.0,2024-12-01 19:18:00,Store,
